speed_avg,acc_avg_p,acc_avg_n,speed_var,acc_var_p,acc_var_n,labels
6.19142,0.53173,-0.2457,2.29231,0.15972,0.15006,1.0
4.66754,0.4742,-0.21918,6.88404,0.11317,0.12184,1.0
16.35053,0.40139,-0.18603,47.20329,0.06402,0.47806,0.0
14.77152,0.57751,-0.40381,24.55632,0.17829,0.2478,0.0
25.3723,0.34194,-0.09814,19.86443,0.61565,0.03472,0.0
14.02011,0.4617,-0.31535,14.33791,0.11022,0.20142,0.0
24.20915,0.38607,-0.16964,40.95055,0.48144,0.5884,0.0
21.88263,0.42979,-0.26195,67.04906,0.1358,0.22203,2.0
9.80437,0.6192,-0.31737,41.02446,0.29103,0.19957,0.0
13.75276,0.41291,-0.21632,45.83944,0.07481,0.09289,0.0
20.95605,0.34501,-0.20855,22.59023,0.03292,0.07721,0.0
19.70798,0.36408,-0.19859,52.4828,0.05498,0.07566,0.0
12.55867,0.45084,-0.24473,29.42597,0.11526,0.10209,0.0
14.24363,0.53448,-0.37057,32.86273,0.13722,0.21422,0.0
8.47162,0.55941,-0.37438,25.79917,0.27255,0.31797,0.0
12.83677,0.6161,-0.32752,29.36622,1.03152,0.43746,0.0
10.09152,0.57436,-0.41135,20.9559,0.1548,0.26127,0.0
12.50576,0.54223,-0.3846,70.55764,0.14818,0.23728,2.0
18.54848,0.46407,-0.22702,92.64036,1.31025,1.67211,2.0
7.73764,0.59445,-0.45961,16.31589,0.10997,0.2013,1.0
16.59242,0.41847,-0.15962,29.52669,0.09096,0.10973,0.0
6.18199,0.51848,-0.25683,5.09449,0.12631,0.13916,1.0
8.88161,0.5848,-0.39163,5.45089,0.23601,0.25881,1.0
10.15732,0.51159,-0.32469,5.12736,0.21106,0.18328,1.0
11.82112,0.43866,-0.32195,22.33639,0.06968,0.25587,0.0
6.47967,0.46759,-0.32499,6.28739,0.08645,0.1569,1.0
6.60326,0.48477,-0.3651,14.44302,0.1422,0.14262,1.0
6.95897,0.44401,-0.34762,8.71892,0.4026,0.21506,1.0
10.57945,0.37522,-0.25125,28.65596,0.06664,0.33252,0.0
10.66459,0.60593,-0.37005,31.2622,0.22944,0.26095,0.0
11.66667,0.55285,-0.28379,57.12697,0.84512,0.52357,2.0
8.64705,0.69021,-0.64631,21.34168,1.0517,1.44547,1.0
6.56346,0.32923,-0.18317,2.98488,0.05056,0.07204,1.0
0.42317,1.00076,-0.02143,1.79295,0.83654,0.01271,1.0
